# name_mcp          name_NED                   ra_mcp_1      dec_mcp_1      redshift_maser   Lum_dis   maser   L_12um_bestfit_1   chi2_maser   logL_OIII_C   ref_num_3  
  NGC-716           NGC716                     28.24867083   12.70833333    0.01519          65.86     0       42.77              0.115        ---           ---        
  NGC-714           NGC714                     28.37354167   36.22133333    0.01473          63.84     0       39.4               1.046        ---           ---        
  J015435+643757    2MASXJ01543532+6437570     28.64704167   64.63255556    0.03487          153.4     0       44.14              3.849        ---           ---        
  NGC741            NGC741                     29.087625     5.629          0.01854          80.58     0       41.1               3.299        ---           ---        
  NGC777            NGC777                     30.06209167   31.42936111    0.01672          72.57     0       40.58              2.937        ---           ---        
  UGC01479          UGC1479                    30.07941667   24.47372222    0.01642          71.25     0       42.06              0.077        40.31         11         
  NGC788            NGC788                     30.2768625    -6.815527778   0.01359          58.85     0       43.07              2.221        40.79         3          
  Mrk1018           UGC1597                    31.566625     -0.291527778   0.04241          187.59    0       43.61              3.742        38.61         1          
  NGC835            NGC835                     32.35251667   -10.13583333   0.01358          58.8      0       42.57              0.493        ---           ---        
  Mrk590            NGC863                     33.63984167   -0.766666667   0.02637          115.28    0       43.14              1.371        ---           ---        
  2MASXJ02182216-   2MASXJ02182216-0506142     34.59208333   -5.103611111   0.04449          197.08    0       40.62              2.39         ---           ---        
  NGC-924           NGC924                     36.695125     20.49747222    0.01487          64.45     0       40.73              2.38         ---           ---        
  NGC-931           NGC931                     37.06031667   31.31163889    0.01664          72.22     0       43.86              1.44         41.90         4          
  Mrk1044           Mrk1044                    37.52302083   -8.998083333   0.01644          71.34     0       42.98              2.568        ---           ---        
  IC1816A           IC1816                     37.9625       -36.67208333   0.01693          73.5      0       42.84              0.015        ---           ---        
  023301+002515     UGC2024                    38.25518333   0.420833333    0.02233          97.33     0       43.56              0.047        41.08         1          
  NGC-973           NGC973                     38.58379167   32.50558333    0.01618          70.2      0       43.03              0.61         39.38         10         
  NGC985            NGC985                     38.65737083   -8.7875        0.04311          190.78    0       44.33              0.398        42.72         4          
  ESO416-G002       ESO416-G002                38.80608333   -29.60475      0.05903          264.21    0       43.49              0.046        40.22         4          
  MRK0595           MRK595                     40.39539167   7.18725        0.02696          117.91    0       43.26              0.835        ---           ---        
  NGC-1050          NGC1050                    40.64829167   34.7635        0.013            56.27     0       42.18              0.056        ---           ---        
  NGC1068           MESSIER077                 40.66962917   -0.013277778   0.00379          16.29     4       44.44              1.284        42.75         2          
  ESO479-G030       ESO479-G030                41.011875     -26.18638889   0.03529          155.29    0       41.9               0.06         ---           ---        
  ESO479-G031       ESO479-G031                41.19891667   -24.51388889   0.02351          102.56    0       42.33              0.06         ---           ---        
  NGC1097           NGC1097                    41.579375     -30.275        0.00424          18.23     0       42.11              0.22         39.27         5          
  2MASXJ02485937+   2MASXJ02485937+2630391     42.2472       26.51088889    0.05796          259.23    0       44.16              0.04         ---           ---        
  IC1859            IC1859                     42.26635      -31.1725       0.01954          84.99     0       40.88              0.072        ---           ---        
  IC1858            IC1858                     42.28504167   -31.28944444   0.02023          88.04     0       41.39              0.027        ---           ---        
  SDSSJ02492-0815   2MASXJ02491286-0815254     42.30361667   -8.257         0.02942          128.91    0       41.37              0.931        ---           ---        
  NGC1106           NGC1106                    42.66879167   41.67147222    0.01446          62.66     1       42.44              0.049        ---           ---        
  2MASXJ02504259+   2MFGC2280                  42.67745833   54.70486111    0.01514          65.64     0       42.07              0.026        40.24         10         
  MCG-02-08-014     MCG-02-08-014              43.09747917   -8.510388889   0.01674          72.66     0       42.79              1.06         39.86         1          
  NGC1144           NGC1144                    43.80081667   -0.183583333   0.02883          126.27    0       43.52              0.546        40.31         1          
  IC1867            IC1867                     43.96762083   9.312          0.02571          112.34    0       40.45              0.752        ---           ---        
  ESO417-G006       ESO417-G006                44.08975      -32.18561111   0.01628          70.64     0       42.1               0.023        ---           ---        
  3C75              NGC1128                    44.42320833   6.024777778    0.02315          100.92    0       39.5               0.467        ---           ---        
  Mrk1066           UGC2456                    44.99412917   36.80488889    0.01202          51.99     4       43.2               1.28         ---           ---        
  MCG02.08.038      MCG-02-08-038              45.01795833   -10.82436111   0.03257          143.04    0       43.46              2.08         ---           ---        
  IRAS02580-1136    MCG-02-08-039              45.12745833   -11.41583333   0.02987          130.92    0       43.34              0.02         42.61         5          
  NGC-1167          NGC1167                    45.4265375    35.20572222    0.01648          71.52     0       41.42              3.973        41.18         2          
  3C76.1            3C76.1                     45.81259583   16.43861111    0.03247          142.59    0       40.39              0.051        ---           ---        
  NGC1194           NGC1194                    45.95462083   -1.10375       0.01359          58.85     4       43.38              2.734        40.84         1          
  NGC1229           NGC1229                    47.0449375    -22.96077778   0.03627          159.72    0       43.75              0.102        ---           ---        
  2MASXJ03111883-   2MASXJ03111883-2046184     47.828375     -20.77172222   0.06696          301.38    0       44.01              1.02         ---           ---        
  MARK1073          UGC2608                    48.7559375    42.03569444    0.02333          101.76    0       43.71              0.741        ---           ---        
  NGC1266           NGC1266                    49.003125     -2.427222222   0.00723          31.16     0       41.85              0.141        41.38         6          
  UGC02638          UGC2638                    49.2591625    1.254972222    0.02374          103.58    0       43.52              0.837        40.25         1          
  NGC-1300          NGC1300                    49.92116667   -19.41138889   0.00526          22.63     0       40.8               0.046        ---           ---        
  3C84              NGC1275                    49.95066708   41.51166667    0.01755          76.22     0       43.84              0.075        41.97         12         
  NGC1320           NGC1320                    51.20291667   -3.042277778   0.00888          38.32     4       43.0               0.008        41            3          
  MRK609            MRK609                     51.3556625    -6.143888889   0.03446          151.55    0       43.82              0.74         41.90         1          
  NGC-1332          2MASXJ03260870+2548411     51.57188333   -21.33580556   0.00508          21.86     0       40.05              0.494        ---           ---        
  3C88              UGC2                       51.97581167   2.561694444    0.0302           132.4     0       41.02              0.198        ---           ---        
  Mrk612            Mrk612                     52.6703875    -3.13775       0.02044          88.97     0       42.89              0.02         42.24         9          
  HS0328+0528       2MASXJ03305218+0538253     52.71741667   5.640555556    0.04597          203.86    0       43.82              0.951        ---           ---        
  NGC1365           NGC1365                    53.40154583   -36.12211111   0.00546          23.45     0       42.96              0.051        ---           ---        
  NGC1358           NGC1358                    53.41530417   -5.089666667   0.01343          58.15     0       41.54              0.112        41.22         2          
  NPM1G-15.0192     2MASXJ03342453-1513402     53.6021875    -15.22775      0.03491          153.58    0       43.29              0.014        ---           ---        
  NGC-1371          NGC1371                    53.7555875    -24.93447222   0.00488          20.99     0       40.63              0.247        ---           ---        
  NGC1386           NGC1386                    54.192425     -35.97583333   0.00289          12.41     4       42.23              0.012        ---           ---        
  ESO482-G014       ESO482-G014                54.26394167   -25.24922222   0.04361          193.06    0       42.24              0.02         ---           ---        
  0335+09           2MASXJ03384056+0958119     54.66897083   9.969972222    0.03458          152.0     0       40.89              1.038        ---           ---        
  ESO548-G81        ESO548-G81                 55.5152875    -21.24447222   0.01447          62.7      0       43.09              3.609        ---           ---        
  IC342             IC342                      56.70209583   68.09636111    9.0E-5           0.39      1       39.03              0.096        35.79         2          
  0353424+3714077   2MASXJ03534246+3714077     58.42699167   37.23547222    0.01863          80.98     0       42.76              1.197        ---           ---        
