# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  J0558-3820        2MASXJ05580206-3820043     89.50833333   -38.33463889   0.03385          148.8     0       44.25            3.517        42.68         5         8.633    0.023       7.438    0.02        4.822    0.014       2.91     0.021      
  NGC-2207          NGC2207                    94.09179167   -21.3725       0.00914          39.45     0       41.7             0.225        ---           ---       9.58     0.022       9.575    0.02        7.798    0.022       6.238    0.063      
  NGC2146           NGC2146                    94.657125     78.35702778    0.00298          12.8      1       42.42            0.173        39.77         2         7.667    0.022       7.069    0.02        2.349    0.015       -0.621   0.016      
  NGC-2217          NGC2217                    95.41575      -27.23336111   0.0054           23.24     0       41.29            0.223        ---           ---       8.618    0.022       8.613    0.02        7.078    0.015       5.324    0.033      
  ESO426-G002       ESO426-G002                95.94341667   -32.21661111   0.02241          97.68     0       43.28            0.036        ---           ---       10.547   0.022       9.747    0.019       6.586    0.015       4.031    0.022      
  VIIZw073          VIIZw073                   97.60654167   63.67811111    0.0413           182.53    3       43.51            0.449        ---           ---       11.585   0.029       10.662   0.024       6.479    0.016       3.392    0.023      
  UGC-3478          UGC3478                    98.19654167   63.67375       0.01276          55.22     0       42.9             0.128        ---           ---       9.781    0.023       9.097    0.02        6.28     0.015       3.76     0.019      
  ESO490-IG26       ESO490-IG26                100.0487083   -25.89525      0.02483          108.43    0       43.47            0.02         ---           ---       9.669    0.022       8.921    0.02        5.745    0.014       2.956    0.019      
  2MASXJ06411806+   2MASXJ06411806+3249313     100.3251667   32.82541667    0.04697          208.44    0       43.71            0.276        ---           ---       11.66    0.022       10.551   0.019       7.352    0.016       4.937    0.035      
  CGCG145-003       CGCG145-003                100.3460417   32.92736111    0.01718          74.59     0       40.11            0.124        ---           ---       11.1     0.022       11.17    0.022       10.401   0.095       8.075    -999.0     
  NGC2273           NGC2273                    102.5360729   60.84591667    0.00613          26.39     4       42.61            0.043        41.15         2         9.234    0.022       8.545    0.019       4.855    0.015       2.148    0.015      
  Mrk6              IC450                      103.0510458   74.42694444    0.0188           81.73     0       43.77            1.434        42.90         5         8.409    0.023       7.622    0.02        5.207    0.015       2.818    0.025      
  UGC3601           UGC3601                    103.9563583   40.00030556    0.01711          74.29     0       41.91            0.015        ---           ---       11.135   0.022       10.672   0.02        7.469    0.018       5.013    0.034      
  UGC3752           UGC3752                    108.5160833   35.27919444    0.01568          68.0      0       43.48            0.037        ---           ---       9.499    0.022       8.6      0.02        5.324    0.015       3.024    0.021      
  MRK376            MRK376                     108.5627917   45.69880556    0.05594          249.84    0       44.61            0.401        ---           ---       9.702    0.023       8.637    0.019       5.49     0.014       3.08     0.022      
  2MASXJ07180060+   2MASXJ07180060+4405271     109.5024167   44.09086111    0.0614           275.28    0       44.16            0.221        ---           ---       10.196   0.022       9.23     0.019       6.365    0.015       3.857    0.025      
  UGC3789           UGC3789                    109.8788333   59.35502778    0.01109          46.93     4       42.08            0.032        ---           ---       10.293   0.023       10.083   0.02        6.339    0.016       3.725    0.021      
  NGC2388           NGC2388                    112.2226708   33.81919444    0.01378          59.68     0       42.95            1.332        41.11         6         9.634    0.021       9.164    0.02        4.736    0.015       1.812    0.02       
  NGC-2389          NGC2388E                   112.269375    33.86097222    0.01319          57.1      0       41.81            0.536        ---           ---       10.795   0.023       10.673   0.02        6.433    0.015       4.162    0.025      
  NGC-2300          NGC2300                    113.083225    85.70886111    0.00635          27.35     0       39.67            1.121        ---           ---       8.994    0.022       9.002    0.02        8.438    0.023       7.3      0.095      
  MARK9             MARK9                      114.2374125   58.77044444    0.03985          175.94    0       44.11            0.334        ---           ---       9.596    0.023       8.519    0.021       5.65     0.015       3.325    0.021      
  Mrk79             UGC3973                    115.6366542   49.80969444    0.02217          96.62     0       43.98            13.13        41.61         5         9.183    0.022       8.101    0.02        5.09     0.015       2.642    0.021      
  Mrk78             Mrk78                      115.6738792   65.17697222    0.03712          163.56    4       43.77            1.102        43.29         8         10.886   0.023       9.801    0.02        6.025    0.016       3.179    0.021      
  MRK10             UGC4013                    116.8713833   60.93352778    0.02923          128.06    0       43.26            0.133        ---           ---       10.654   0.023       9.936    0.02        6.943    0.017       4.326    0.025      
  Mrk382            Mrk382                     118.8554      39.18611111    0.03366          147.94    0       43.26            0.822        ---           ---       11.549   0.023       10.862   0.02        7.305    0.018       4.953    0.032      
  B20755+37         NGC2484                    119.6171171   37.78663889    0.04281          189.41    0       42.19            1.945        40.36         1         10.837   0.021       10.788   0.021       9.671    0.052       7.764    0.254      
  CGCG118-036       CGCG118-036                119.9728333   23.39008333    0.02916          127.74    0       43.68            1.462        40.91         1         9.799    0.022       9.005    0.019       6.019    0.014       4.046    0.024      
  07570+2334        CGCG118-038                120.0168792   23.43777778    0.02921          127.97    0       42.45            2.873        ---           ---       11.478   0.022       11.125   0.02        9.124    0.033       6.533    0.069      
  IC486             IC486                      120.0874333   26.61352778    0.02686          117.47    0       43.53            1.832        41.56         1         10.133   0.022       9.451    0.02        6.544    0.016       3.948    0.027      
  SDSSJ08034+084    2MASXJ08032736+0841523     120.8641      8.697916667    0.0467           207.2     0       43.16            2.305        43.95         7         11.611   0.023       11.017   0.021       8.669    0.027       6.359    0.064      
  080359+234520     2MASXJ08035923+2345201     120.9966708   23.75563889    0.02938          128.73    0       42.47            1.455        41.20         1         11.991   0.022       11.838   0.023       8.804    0.029       6.31     0.06       
  Mrk1210           PhoenixGalaxy              121.0244083   5.113833333    0.01349          58.41     4       43.52            1.642        42.36         3         10.006   0.022       8.614    0.02        4.634    0.015       1.697    0.019      
  MCG+02-21-013     UGC4211                    121.19325     10.77666667    0.03441          151.32    0       43.29            0.033        41.47         1         10.782   0.023       10.261   0.019       7.276    0.016       5.2      0.033      
  3C192             3C192                      121.3958167   24.16386111    0.05967          267.2     0       41.48            2.59         41.52         1         12.445   0.021       12.403   0.026       10.557   0.096       7.563    0.22       
  SDSSJ08064+2419   2MASXJ08062980+2419560     121.6241958   24.33213889    0.0416           183.9     0       42.42            1.467        ---           ---       13.113   0.024       12.747   0.025       9.843    0.047       8.059    0.215      
  Mrk622            UGC4229                    121.9209792   39.00416667    0.02321          101.23    0       43.01            1.151        40.86         1         10.97    0.023       10.38    0.021       6.44     0.015       3.332    0.022      
  RXSJ08189-2252    2MASXJ08185772-2252364     124.7405      -22.87666667   0.03456          152.0     0       42.68            0.042        ---           ---       11.781   0.023       11.334   0.021       8.953    0.027       6.579    0.059      
  NGC-2563          NGC2563                    125.1486875   21.06783333    0.01493          64.72     0       40.78            2.728        37.58         1         9.852    0.021       9.908    0.019       9.462    0.04        8.463    0.358      
  MCG-01.22.006     FAIRALL0272                125.7545833   -4.934888889   0.0218           94.98     0       43.11            2.216        ---           ---       10.513   0.022       9.537    0.02        6.656    0.015       4.755    0.025      
  082443+295923     2MASXJ08244333+2959238     126.1803583   29.98975       0.02531          110.56    0       43.77            2.609        41.50         1         10.023   0.022       8.847    0.019       5.985    0.015       3.458    0.023      
  SDSSJ08292+5006   SDSSJ082912.67+500652.3    127.3028333   50.1145        0.04333          191.79    0       42.6             0.44         ---           ---       13.722   0.025       12.881   0.027       9.517    0.041       6.986    0.086      
  NGC-2613          NGC2613                    128.3451667   -22.97363889   0.00559          24.06     0       41.44            0.263        ---           ---       9.275    0.022       9.253    0.02        7.608    0.018       5.637    0.052      
  J083529+250139    NGC2611                    128.8715417   25.0275        0.01752          76.09     0       42.4             0.179        40.04         1         10.946   0.023       10.615   0.02        6.514    0.013       4.248    0.026      
  He2-10            ESO495-G021                129.0630583   -26.40936111   0.00291          12.5      1       41.54            0.087        ---           ---       9.147    0.023       8.724    0.021       3.794    0.014       0.49     0.01       
  NGC2622           NGC2622                    129.5455958   24.89525       0.0286           125.24    0       42.61            1.008        ---           ---       10.95    0.022       10.616   0.02        7.416    0.017       4.809    0.033      
  SDSSJ08416+5455   2MASXJ08413787+5455069     130.4078125   54.91847222    0.04462          197.68    0       43.32            4.464        41.70         1         11.218   0.023       10.37    0.02        7.853    0.019       5.838    0.041      
  NGC2639           NGC2639                    130.9086575   50.20558333    0.01112          48.06     2       41.48            0.299        40.13         2         9.428    0.023       9.422    0.019       7.349    0.015       5.077    0.035      
  NGC-2633          NGC2633                    132.0190833   74.09880556    0.0072           31.03     0       42.14            0.031        ---           ---       9.346    0.022       9.004    0.02        4.543    0.014       1.659    0.016      
  NGC2683           NGC2683                    133.1722      33.42180556    0.00138          5.92      0       39.68            0.283        37.50         2         8.779    0.022       8.688    0.019       6.564    0.014       5.015    0.033      
  NGC2681           NGC2681                    133.3864167   51.31361111    0.00231          9.92      0       41.27            1.33         38.77         2         8.502    0.023       8.422    0.02        5.809    0.015       3.17     0.02       
  08551254+642345   MCG+11-11-032              133.802275    64.39602778    0.03623          159.54    0       43.1             2.041        41.36         1         11.064   0.023       10.246   0.02        7.761    0.019       5.674    0.04       
  NGC2685           NGC2685                    133.8946292   58.73447222    0.00294          12.63     0       39.12            0.214        38.97         2         9.377    0.022       9.357    0.02        8.472    0.023       6.904    0.09       
  NGC-2655          NGC2655                    133.9072083   78.22305556    0.00467          20.09     0       41.77            0.154        39.93         2         8.56     0.022       8.462    0.02        6.408    0.015       4.322    0.026      
  NGC-2712          NGC2712                    134.876975    44.91397222    0.00605          26.05     0       41.78            0.505        40.15         7         10.418   0.022       10.104   0.019       6.336    0.015       4.003    0.021      
  Mrk18             UGC4730                    135.4933208   60.15163889    0.01108          47.89     0       42.66            0.57         40.45         1         10.209   0.023       9.736    0.02        6.288    0.015       3.876    0.024      
  2MASXJ09043699+   2MASXJ09043699+5536025     136.1539208   55.60075       0.03712          163.56    0       42.8             0.577        41.90         4         12.083   0.023       11.427   0.021       8.515    0.023       5.764    0.043      
  091129+452805     2MASXJ09112999+4528060     137.8748625   45.46833333    0.02676          117.02    0       42.47            0.774        40.68         1         11.929   0.026       11.305   0.025       7.758    0.022       5.278    0.043      
  NGC2768           NGC2768                    137.90625     60.03741667    0.00451          19.4      0       40.53            0.536        38.79         2         9.022    0.023       9.032    0.019       8.033    0.02        6.657    0.072      
  NGC2782           NGC2782                    138.5213017   40.11361111    0.00848          36.58     2       42.75            0.87         41            2         9.47     0.022       8.986    0.019       4.947    0.014       2.224    0.019      
  HydraA            HydraA                     139.5236208   -12.09552778   0.05488          244.74    0       41.03            0.036        ---           ---       11.67    0.023       11.615   0.022       9.665    0.043       7.331    0.108      
  Mrk704            Mrk704                     139.6083542   16.30527778    0.02921          127.97    0       44.14            2.938        42.68         5         9.35     0.023       8.22     0.02        5.122    0.015       3.039    0.023      
  NGC2787           NGC2787                    139.8274833   69.20327778    0.00232          9.96      0       39.94            0.354        37.59         2         8.569    0.023       8.577    0.019       7.255    0.017       6.124    0.057      
  IC2461            IC2461                     139.9917708   37.19125       0.00753          32.46     0       42.03            0.158        39.29         1         10.46    0.023       10.089   0.02        7.106    0.018       4.869    0.026      
  MCG-01-24-012     MCG-01-24-012              140.1927083   -8.056138889   0.01963          85.39     0       43.23            0.203        40.65         4         10.959   0.023       9.825    0.02        6.353    0.015       3.501    0.022      
  NGC-2841          NGC2841                    140.510975    50.97652778    0.00213          9.14      0       39.08            0.82         38.16         2         8.27     0.022       8.313    0.019       7.539    0.023       6.149    0.07       
  MCG+04-22-042     CGCG121-075                140.9291792   22.909         0.03233          141.96    0       43.76            3.087        ---           ---       9.791    0.023       8.952    0.02        6.206    0.016       3.996    0.023      
  Mrk110            Mrk110                     141.303625    52.28625       0.03527          155.2     0       43.63            5.371        42.70         4         10.391   0.023       9.414    0.02        6.725    0.017       4.714    0.03       
  Mrk705            UGC5025                    141.5137167   12.73413889    0.02913          127.61    0       43.74            0.699        ---           ---       10.358   0.023       9.431    0.02        6.159    0.015       3.795    0.025      
  UGC5037           NGC2885                    141.8271167   23.02011111    0.0263           114.97    0       42.85            1.51         ---           ---       10.611   0.022       10.347   0.02        7.718    0.019       5.344    0.036      
  J0929+6232        CGCG312-012                142.4077417   62.54413889    0.02559          111.81    0       42.41            2.629        40.81         1         10.971   0.022       10.596   0.021       8.553    0.023       6.341    0.057      
  MCG+05-23-016     MCG+05-23-016              143.5263333   27.34980556    0.04249          187.95    0       41.2             2.0          40.22         1         12.923   0.035       12.883   0.04        9.964    0.072       7.877    0.291      
  UGC5101           UGC5101                    143.9649792   61.35316667    0.03934          173.62    3       44.19            2.325        41.65         1         10.033   0.023       8.336    0.02        5.621    0.015       2.661    0.019      
  Mrk1419           NGC2960                    145.1516042   3.576944444    0.01644          71.34     4       41.6             0.593        ---           ---       10.386   0.022       10.256   0.02        6.83     0.014       4.569    0.024      
  NGC2992           NGC2992                    146.4252083   -14.32602778   0.0077           33.19     0       42.4             0.072        41.29         3         9.022    0.023       8.607    0.019       5.013    0.015       2.357    0.02       
  NGC2993           NGC2993                    146.451375    -14.36833333   0.0081           34.93     0       42.12            0.129        ---           ---       10.184   0.022       9.744    0.019       4.957    0.016       1.985    0.022      
  MCG-05-23-016     ESO434-G040                146.9173167   -30.94888889   0.00848          36.58     0       43.42            0.515        ---           ---       8.493    0.022       7.495    0.02        4.249    0.014       1.653    0.011      
  NGC-2985          NGC2985                    147.592625    72.27858333    0.00441          18.96     0       41.33            0.168        38.11         2         9.061    0.023       9.019    0.019       6.991    0.015       4.801    0.03       
  NGC3035           NGC3035                    147.9792917   -6.823027778   0.01451          62.88     0       42.37            0.062        ---           ---       10.591   0.023       10.224   0.02        7.309    0.018       4.813    0.029      
  Mrk1239           Mrk1239                    148.0795917   -1.611444444   0.01991          86.62     0       43.97            4.11         ---           ---       8.073    0.023       7.024    0.02        4.326    0.014       2.311    0.015      
  NGC3044           NGC3044                    148.4203333   1.579722222    0.0043           18.49     0       41.56            0.912        ---           ---       10.608   0.022       10.249   0.021       5.755    0.013       3.331    0.018      
  NGC-3031          MESSIER081                 148.8882208   69.06527778    8.4E-4           3.6       0       40.28            6.498        38.72         2         5.742    0.038       6.472    0.019       5.092    0.014       2.957    0.021      
  M82               MESSIER082                 148.9696875   69.67969444    6.8E-4           2.92      3       42.47            1.48         38.93         1         3.953    0.196       4.081    0.012       -1.304   0.369       -3.385   0.002      
  IC2520            IC2520                     149.0838208   27.2275        0.00413          17.76     0       41.49            0.45         38.54         1         10.451   0.022       10.197   0.02        5.807    0.012       3.761    0.02       
  J0959+1301        2MASXJ09590662+1301351     149.7778042   13.02647222    0.03658          161.12    0       43.31            1.528        40.93         1         11.629   0.027       10.428   0.024       7.779    0.024       4.996    0.048      
  095914+125916     CGCG064-017                149.8115083   12.98788889    0.03433          150.96    0       42.52            0.973        41.50         1         12.859   0.024       12.35    0.025       8.653    0.027       5.789    0.05       
  NGC3081           NGC3081                    149.8730792   -22.82636111   0.00797          34.37     2       42.6             0.023        41.43         3         9.714    0.023       9.101    0.02        5.189    0.015       2.37     0.023      
  NGC3080           NGC3080                    149.9826458   13.04383333    0.0354           155.79    0       43.27            1.139        ---           ---       11.211   0.023       10.648   0.02        7.705    0.019       5.475    0.041      
  NGC3079           NGC3079                    150.4908475   55.67977778    0.00372          15.99     4       42.48            1.08         40.43         2         8.391    0.023       7.929    0.02        4.092    0.016       1.987    0.017      
  NGC-3115          NGC3115                    151.30825     -7.718611111   0.00221          9.49      0       39.9             5.163        ---           ---       6.625    0.03        7.35     0.019       6.664    0.016       5.552    0.054      
  MCG-04.24.017     ESO499-G041                151.4807083   -23.057        0.01281          55.44     0       42.59            0.026        ---           ---       10.288   0.022       9.679    0.019       6.725    0.015       4.431    0.025      
  Fair1149          ESO374-G044                153.3329583   -35.98266667   0.02843          124.48    0       42.97            0.018        ---           ---       11.34    0.023       10.766   0.02        6.611    0.016       3.805    0.023      
  NGC-3169          NGC3169                    153.5627092   3.466055556    0.00413          17.76     0       41.72            0.109        39.33         2         8.278    0.022       8.187    0.02        6.21     0.014       4.454    0.028      
  PG1011-040        PG1011-040                 153.5861667   -4.310833333   0.05827          260.67    0       43.74            0.16         ---           ---       11.183   0.023       10.299   0.02        7.122    0.017       4.686    0.026      
  IC2560            IC2560                     154.0779833   -33.56383333   0.00967          42.1      4       42.65            0.02         ---           ---       10.026   0.022       9.387    0.02        5.504    0.015       2.499    0.019      
  NGC-3147          NGC3147                    154.2235454   73.40077778    0.00934          40.31     0       42.17            0.171        40.24         2         8.993    0.022       8.881    0.019       6.668    0.015       4.42     0.029      
  NGC3185           NGC3185                    154.4106875   21.68830556    0.00406          17.45     0       41.09            0.121        39.54         1         10.532   0.022       10.384   0.02        6.91     0.016       4.594    0.024      
  SDSSJ10181+0005   2dFGRSN356Z056             154.5278875   0.09975        0.04847          215.33    0       42.66            0.541        41.08         1         12.223   0.023       11.953   0.024       8.946    0.034       6.761    0.091      
  2MASXJ10181928+   2MASXJ10181928+3722419     154.5801917   37.37833333    0.04927          219.01    0       43.06            0.978        41.56         1         13.241   0.025       12.283   0.024       8.401    0.022       5.331    0.037      
  MCG+00.27.002     ARK241                     155.4176667   -3.453916667   0.04082          180.35    0       43.54            0.428        ---           ---       10.729   0.022       10.006   0.02        7.265    0.017       5.024    0.04       
  NGC3226           NGC3226                    155.8625346   19.89861111    0.00438          18.83     0       40.47            1.264        38.36         2         9.707    0.023       9.738    0.019       7.968    0.022       6.307    0.059      
  NGC3227           NGC3227                    155.8774125   19.86508333    0.00386          16.59     0       42.68            38.798       40.47         2         8.66     0.023       7.954    0.021       4.488    0.014       1.855    0.018      
  NGC3256           NGC3256                    156.963625    -43.90372222   0.00935          40.36     2       43.42            0.054        ---           ---       8.333    0.021       7.543    0.02        2.796    0.013       -0.597   0.011      
  NGC3254           NGC3254                    157.3331042   29.49141667    0.00452          19.44     0       39.0             0.726        39.36         2         10.26    0.022       10.355   0.02        9.292    0.036       7.695    0.161      
  NGC3281           NGC3281                    157.9670417   -34.85372222   0.01067          46.1      0       43.66            0.351        41.40         3         9.017    0.023       7.553    0.021       4.189    0.015       1.484    0.016      
  J1032+6502        NGC3259                    158.1452208   65.04113889    0.00562          24.19     0       41.02            0.259        38.97         1         11.252   0.022       11.222   0.021       8.034    0.018       5.82     0.04       
  MRK34             MRK34                      158.5358      60.03111111    0.05047          224.53    4       44.07            0.925        44.20         8         11.213   0.024       10.029   0.02        6.299    0.015       3.349    0.021      
  KUG1031+398       KUG1031+398                158.6608292   39.64138889    0.04241          187.59    0       43.86            0.921        ---           ---       11.064   0.022       9.876    0.02        6.647    0.015       4.507    0.027      
  NGC-3308          NGC3308                    159.0933333   -27.43777778   0.01185          51.25     0       40.11            0.76         ---           ---       10.203   0.023       10.244   0.02        9.712    0.045       8.481    0.353      
  NGC3312           NGC3312                    159.2605208   -27.56505556   0.00962          41.53     0       41.76            0.237        ---           ---       9.711    0.022       9.699    0.02        7.964    0.019       5.777    0.044      
  SDSSJ10434+1105   SDSSJ104326.47+110524.2    160.8603042   11.09008333    0.0477           211.79    0       42.91            0.742        ---           ---       12.597   0.023       11.757   0.023       8.806    0.032       6.23     0.06       
  CGCG333-049       CGCG333-049                161.0355833   70.40525       0.03355          147.45    0       43.65            0.03         ---           ---       10.846   0.023       9.955    0.02        6.496    0.015       4.069    0.021      
  104449+381052     UGC5856                    161.2040417   38.18102778    0.02586          113.01    0       42.86            0.06         40.47         1         10.996   0.022       10.549   0.021       7.581    0.018       5.534    0.036      
  NGC3362           NGC3362                    161.2154833   6.596694444    0.02763          120.9     0       42.78            0.443        41.25         1         11.474   0.023       11.039   0.022       7.239    0.016       4.754    0.025      
  NGC-3367          NGC3367                    161.6456417   13.75080556    0.01013          43.75     0       41.68            0.02         40.5          2         10.72    0.021       10.463   0.021       5.815    0.015       2.488    0.014      
  UGC05881          UGC05881                   161.6771625   25.93166667    0.02058          89.58     0       42.87            0.624        40.88         1         10.666   0.022       10.257   0.02        6.753    0.015       4.071    0.027      
  NGC3393           NGC3393                    162.09775     -25.1615       0.0125           54.08     4       42.53            0.048        42.04         8         9.991    0.022       9.597    0.02        6.09     0.015       2.817    0.019      
  Mrk417            Mrk417                     162.3788625   22.96441667    0.03273          143.76    0       43.56            1.403        41.52         1         10.985   0.023       10.036   0.02        6.821    0.017       4.335    0.025      
  NGC3396           NGC3396                    162.4794708   32.99088889    0.00542          23.33     0       41.24            0.034        39.11         1         11.192   0.02        10.848   0.019       6.005    0.013       2.801    0.017      
  NGC-3414          NGC3414                    162.8175292   27.97494444    0.0049           21.08     0       40.87            3.043        39            2         9.122    0.022       9.158    0.019       8.181    0.023       6.378    0.06       
  NGC3486           NGC3486                    165.09945     28.975         0.00227          9.75      0       39.59            0.933        38.31         2         10.041   0.022       10.054   0.02        8.575    0.025       6.203    0.056      
  MRK728            MRK0728                    165.2574167   11.04691667    0.03562          156.78    0       42.67            0.796        41.66         9         12.116   0.035       11.608   0.032       9.083    0.049       6.677    0.136      
  UGC6100           UGC6100                    165.3916625   45.65391667    0.02948          129.17    0       43.01            0.635        41.90         1         11.271   0.023       10.829   0.02        6.798    0.014       4.247    0.024      
  B21101+38         MRK0421                    166.1138079   38.20888889    0.03             131.5     0       43.35            3.958        ---           ---       9.409    0.022       8.764    0.02        7.004    0.016       5.157    0.026      
  SDSSJ11049+4334   2MASXJ11045601+4334089     166.2334458   43.56922222    0.04925          218.92    0       42.64            0.904        ---           ---       12.984   0.027       12.47    0.025       9.999    0.058       7.813    0.244      
  NGC-3521          NGC3521                    166.4524208   -0.035861111   0.00267          11.47     0       39.96            0.367        38.29         2         7.924    0.023       7.941    0.019       6.092    0.017       3.796    0.029      
  CGCG291-028       CGCG291-028                166.495925    58.946         0.04763          211.47    0       43.16            0.984        40.90         1         11.443   0.022       11.005   0.02        8.25     0.021       6.204    0.046      
  ESO438-G09        ESO438-G09                 167.7         -28.50111111   0.024            104.74    0       43.45            0.07         ---           ---       9.832    0.023       9.084    0.02        5.845    0.015       3.018    0.018      
  NGC3561           NGC3561                    167.8050167   28.69633333    0.02935          128.59    0       42.33            2.436        40.31         1         11.055   0.022       10.864   0.02        8.765    0.027       6.96     0.088      
  IC2637            IC2637                     168.457275    9.586277778    0.02921          127.97    0       43.4             0.671        41.36         1         10.417   0.022       10.019   0.02        6.121    0.017       4.198    0.028      
  11144391+794335   MCG+13-08-056              168.6829583   79.72663889    0.03719          163.88    0       43.05            0.003        42.68         7         11.816   0.023       11.143   0.02        8.224    0.02        5.946    0.036      
  NGC3607           NGC3607                    169.2276625   18.05172222    0.00314          13.49     0       40.53            0.161        38.99         2         8.428    0.022       8.391    0.019       6.645    0.014       5.314    0.04       
  NGC-3623          MESSIER065                 169.7329833   13.09225       0.00269          11.55     0       39.89            0.409        38.02         2         8.597    0.022       8.61     0.02        7.501    0.02        6.091    0.066      
  NGC-3627          MESSIER066                 170.06235     12.99166667    0.00242          10.39     0       41.15            0.065        39.43         2         8.215    0.022       8.094    0.019       5.272    0.02        3.006    0.027      
  1123013           CGCG242-028                170.7554708   47.05238889    0.02511          109.58    0       40.57            0.025        41.15         1         11.732   0.022       11.666   0.021       9.112    0.032       6.692    0.066      
  ngc3660           NGC3660                    170.8845      -8.658027778   0.01228          53.12     0       41.69            1.194        40.75         3         11.058   0.022       10.862   0.02        7.383    0.019       4.563    0.024      
  CGCG039-167       CGCG039-167                171.0362042   6.21475        0.03768          166.1     0       42.82            0.726        ---           ---       11.276   0.023       11.006   0.02        7.916    0.022       5.595    0.04       
  NGC-3665          NGC3665                    171.1819667   38.76277778    0.00683          29.73     0       41.14            0.089        38.91         2         8.976    0.022       8.912    0.019       6.313    0.013       4.748    0.027      
  MARK40            ARP151                     171.4006958   54.38222222    0.02108          91.79     0       42.87            4.778        ---           ---       10.806   0.023       10.006   0.021       7.552    0.017       5.469    0.034      
  J112549+144006    IC2810E                    171.4564583   14.6685        0.0338           148.57    0       42.21            0.313        40.33         1         11.818   0.027       11.451   0.026       7.199    0.019       4.442    0.032      
  Mrk423            Mrk423                     171.7021083   35.25083333    0.03225          141.6     0       43.16            0.619        40.24         1         10.89    0.023       10.507   0.02        7.299    0.015       4.697    0.03       
  NGC3718           NGC3718                    173.1452208   53.06805556    0.00331          14.22     0       40.76            4.244        38.61         2         9.177    0.022       9.064    0.019       7.294    0.017       5.509    0.04       
  J1132+5257        UGC6527NED03               173.1676875   52.95044444    0.0264           115.42    0       43.56            0.648        42.04         1         10.32    0.022       9.461    0.02        6.37     0.015       4.012    0.023      
  NPM1G+10.0264     IC2921                     173.2053167   10.29647222    0.04401          194.89    0       43.72            2.452        ---           ---       10.651   0.022       9.847    0.02        7.138    0.019       4.893    0.035      
  113543+490215     MCG+08-21-065              173.9331958   49.03763889    0.02967          130.02    0       42.34            0.1          39.77         1         11.891   0.023       11.621   0.021       8.73     0.023       6.698    0.065      
  SBS1133+572       SBS1133+572                173.9544833   56.95233333    0.0507           225.41    0       44.17            0.333        42.24         1         9.917    0.023       8.918    0.019       5.859    0.015       3.207    0.026      
  NGC3735           NGC3735                    173.98875     70.53586111    0.00899          38.79     2       42.11            0.078        40.77         2         9.679    0.022       9.398    0.019       5.401    0.014       2.852    0.021      
  MRK739E           NGC3758E                   174.12244     21.59575       0.02972          130.16    0       43.64            0.077        ---           ---       9.906    0.022       9.09     0.02        5.994    0.015       3.792    0.023      
  Mrk739E           NGC3758E                   174.1224417   21.59575       0.0297           130.16    0       43.64            0.078        ---           ---       9.906    0.022       9.09     0.02        5.994    0.015       3.792    0.023      
  UGC6583           UGC6583                    174.2266667   19.97086111    0.02063          89.81     0       42.31            0.443        39.97         1         11.104   0.023       10.867   0.02        6.488    0.015       4.126    0.025      
  NGC3753           NGC3753                    174.4745833   21.98138889    0.02909          127.43    0       41.79            3.038        ---           ---       10.664   0.022       10.677   0.02        8.983    0.03        6.939    0.082      
  113834+252353     2MASXJ11383367+2523532     174.6404875   25.39813889    0.02534          110.69    0       42.55            0.06         40.63         1         12.149   0.023       11.565   0.021       8.194    0.021       5.768    0.039      
  HE1136-2304       LQAC174-023001             174.7129167   -23.35980556   0.02698          118.0     0       42.88            0.498        ---           ---       11.366   0.022       10.638   0.02        8.114    0.026       5.732    0.053      
  NGC3783           NGC3783                    174.7573417   -37.73858333   0.00972          41.97     2       43.33            0.284        40.06         4         8.38     0.022       7.375    0.019       4.19     0.015       1.545    0.014      
  SBS1136+594       SBS1136+594                174.787325    59.19855556    0.06006          269.02    0       43.94            1.272        42.70         4         11.713   0.024       10.566   0.02        7.362    0.016       4.992    0.031      
  UGC6614           UGC6614                    174.8119667   17.14355556    0.02117          92.19     0       41.52            2.062        39.99         1         11.147   0.022       11.047   0.02        9.089    0.035       6.902    0.09       
  NGC-3786          NGC3786                    174.9272958   31.90927778    0.00893          38.53     0       42.22            0.286        ---           ---       10.279   0.023       9.883    0.02        6.405    0.016       4.026    0.022      
  PG1138+222        PG1138+222                 175.3173417   21.93944444    0.06316          283.52    0       44.07            1.319        ---           ---       11.449   0.023       10.459   0.021       7.169    0.017       4.537    0.024      
  NGC3822           NGC3822                    175.5462875   10.27777778    0.02089          90.95     0       43.17            0.463        ---           ---       9.83     0.022       9.481    0.019       5.705    0.014       3.882    0.021      
  KUG1141+371       KUG1141+371                176.1244833   36.88575       0.03803          167.68    0       43.09            1.042        ---           ---       11.565   0.023       11.004   0.02        8.368    0.021       6.037    0.045      
  NGC3861           NGC3861                    176.266175    19.97355556    0.01697          73.67     0       41.94            1.96         39.68         1         10.671   0.022       10.661   0.021       8.894    0.034       6.907    0.094      
  3C264             NGC3862                    176.2708708   19.60638889    0.0217           94.54     0       42.17            1.989        38.97         1         10.325   0.022       10.265   0.02        8.843    0.033       6.854    0.075      
