# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  NGC-504           NGC504                     20.86625      33.20444444    0.01409          61.04     0       38.87            0.425        ---           ---       11.301   0.023       11.367   0.021       9.489    0.035       7.876    0.146      
  NGC-507           NGC507                     20.916275     33.25555556    0.01645          71.39     0       40.58            0.717        ---           ---       9.722    0.022       9.776    0.02        9.26     0.031       7.966    0.183      
  NGC526a           NGC526a                    20.97664167   -35.06544444   0.01908          82.96     0       43.51            0.952        41.31         5         9.201    0.023       8.408    0.02        5.887    0.015       3.587    0.023      
  NGC513            NGC513                     21.111875     33.79944444    0.01953          84.95     0       42.95            0.229        41.13         3         10.079   0.022       9.709    0.019       6.265    0.014       3.991    0.025      
  UGC00987          UGC987                     21.3811       32.1365        0.01553          67.35     0       42.36            0.766        41.49         5         10.494   0.022       10.364   0.02        7.921    0.018       5.757    0.046      
  NGC541            NGC541                     21.43461667   -1.379416667   0.01807          78.51     0       41.55            1.967        ---           ---       10.336   0.022       10.394   0.019       9.363    0.035       7.648    0.135      
  NGC547            NGC547                     21.50263333   -1.34525       0.01823          79.22     0       41.27            2.375        ---           ---       10.016   0.022       10.05    0.02        9.269    0.035       7.35     0.13       
  XBSJ01269+1912    IC115                      21.72682083   19.21469444    0.04265          188.68    0       40.36            0.12         ---           ---       11.238   0.022       11.273   0.021       10.5     0.07        8.593    -999.0     
  Mrk359            UGC1032                    21.88563333   19.17888889    0.01737          75.43     0       43.26            0.69         ---           ---       10.176   0.022       9.454    0.019       6.204    0.015       3.729    0.023      
  NGC591            NGC591                     23.380275     35.66833333    0.01516          65.72     4       42.61            0.032        41.95         3         10.685   0.023       10.198   0.02        6.327    0.014       3.413    0.02       
  M33               MESSIER033                 23.46204167   30.66022222    -6.0E-4          0.81      1       39.88            0.611        36.68         13        10.639   0.025       10.652   0.024       9.767    0.104       6.544    0.081      
  NGC0612           NGC612                     23.49058333   -36.49322222   0.02975          130.38    0       43.02            0.016        40.00         4         10.052   0.022       9.804    0.019       6.234    0.014       4.647    0.027      
  NGC613            NGC613                     23.57570833   -29.41861111   0.00494          21.25     2       42.14            0.061        ---           ---       8.786    0.023       8.393    0.02        4.529    0.013       1.658    0.017      
  NGC-628           MESSIER074                 24.17394583   15.78330556    0.00219          9.4       0       37.21            0.027        ---           ---       10.655   0.023       10.695   0.023       9.342    0.074       8.271    0.374      
  KUG0135-131       KUG0135-131                24.52245833   -12.86972222   0.04021          177.44    0       43.94            0.002        ---           ---       11.215   0.028       9.918    0.024       6.12     0.021       3.481    0.034      
  NGC0660           NGC660                     25.76         13.64566667    0.00283          12.15     0       42.65            0.203        39.49         1         8.0      0.023       6.847    0.02        3.514    0.014       0.523    0.01       
  014914+130319     NGC677                     27.308575     13.05530556    0.017            73.8      0       40.49            0.443        39.31         1         10.023   0.022       10.087   0.019       9.445    0.04        8.028    0.203      
  NGC-678           NGC678                     27.35358333   21.99727778    0.00945          40.79     0       41.33            6.194        ---           ---       9.416    0.023       9.415    0.02        7.896    0.019       5.808    0.042      
