count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
1,RXSJ00001+0523,0.0490833,5.38817,11992,2016-02-12,51.3,3,10.9,10631,13365,?,?,?
2,KUG2358+330,0.242083,33.3439,12921,2012-11-17,36.5,8,4.0,11461,14395,?,?,?
3,0001233+4733537,0.347083,47.5649,5237,2010-11-02,39.5,10,3.6,3848,6639,3.5,6358,9196
4,NGC-7805,0.3615,31.4337,4850,2006-01-05,43.8,5,6.0,3464,6248,5.6,5968,8799
5,NGC-7806,0.37525,31.4419,4768,2006-01-05,42.2,5,6.1,3383,6166,5.4,5885,8715
6,0001383+2329011,0.409667,23.4836,4382,2010-12-24,38.9,10,3.8,3000,5776,4.1,5497,8319
7,0001419+2329452,0.424583,23.4958,4393,2010-12-24,38.3,10,3.5,3011,5787,3.7,5508,8330
8,UGC12915,0.424667,23.4959,4336,2005-02-02,27.1,28,1.5,3994,6788,?,?,?
9,0001523+4020109,0.467917,40.3363,13568,2010-11-13,36.9,10,3.1,12102,15048,3.1,14751,17747
10,0001523+4020109,0.467917,40.3364,13568,2010-11-29,45.1,10,4.1,12102,15048,3.9,14751,17747
11,CGCG517-014,0.493708,36.6492,9609,2012-11-17,38.8,10,3.8,8179,11051,?,?,?
12,NGC7811,0.610292,3.35189,7650,2013-12-24,41.9,9,4.4,6238,9074,?,?,?
13,Mrk334,0.791458,21.9605,6600,2003-04-27,28.1,36,1.8,5198,8014,?,?,?
14,UM016,0.79175,4.74894,17358,2005-09-28,45.6,44,2.0,16982,20021,?,?,?
15,NGC7814,0.812083,16.1456,1050,2010-04-11,34.9,10,3.1,-301,2414,3.2,2140,4900
16,UGC13,0.871667,27.3516,7690,2010-04-11,31.9,10,2.9,6278,9115,2.6,8829,11713
17,NGC7808,0.88375,-10.7447,8787,2016-02-04,44.3,10,4.4,7454,10132,?,?,?
18,MRK335,0.938375,20.2029,7735,2009-01-22,38.6,10,3.6,6323,9160,3.5,8874,11759
19,NGC-7817,0.995458,20.7523,2309,2005-12-14,42.4,5,5.4,946,3684,6.3,3408,6192
20,NGC-7819,1.10225,31.472,4958,2006-01-05,39.7,5,5.9,3571,6357,5.2,6077,8910
21,000435+005055,1.14675,0.848611,6295,2006-03-29,46.5,10,4.2,4896,7707,4.1,7424,10281
22,Mrk335,1.58137,20.2029,7730,2012-11-15,35.7,10,3.7,6318,9155,?,?,?
23,Mrk335,1.58137,20.2029,7730,2011-02-23,40.2,10,3.6,6318,9155,3.3,8869,11754
24,J0006+1419,1.58171,14.3274,5452,2014-11-03,50.8,10,5.8,4061,6856,?,?,?
25,UGC46,1.59042,17.4336,5506,2010-01-15,36.3,10,3.2,4114,6910,2.8,6629,9472
26,UGC00047,1.65983,17.2842,873,2003-12-22,33.3,28,1.8,537,3268,?,?,?
27,UGC00050,1.66733,26.1545,7552,2005-02-01,26.8,24,1.6,7202,10056,?,?,?
28,UGC52,1.70617,8.62853,5257,2007-12-20,52.2,10,5.1,3867,6659,4.7,6378,9217
29,NGC-1,1.81596,27.7081,4545,2005-12-14,41.1,5,5.9,3162,5941,6.7,5661,8486
30,2MASXJ00082041+,2.08542,40.6325,13389,2013-05-03,69.4,10,7.7,11925,14867,?,?,?
31,NGC-12,2.18671,4.61247,3940,2005-10-02,60.6,5,8.3,3802,6592,9.1,1333,4078
32,NGC-13,2.19887,33.4333,4808,2006-10-30,41.4,5,6.0,3422,6206,5.2,5926,8755
33,NGC-9,2.22787,23.817,4528,2005-12-14,41.8,5,5.6,3145,5923,5.4,5644,8468
34,NGC-16,2.26783,27.7294,3056,2005-12-14,42.2,5,5.6,1686,4438,5.1,4161,6958
35,2MASXJ00090793+,2.28292,14.4655,12423,2013-12-24,38.8,10,3.8,10967,13892,?,?,?
36,J0009+1427,2.28292,14.4655,12429,2014-11-03,47.7,10,4.9,10973,13898,?,?,?
37,UGC85,2.36937,47.3558,5153,2009-04-13,63.4,20,4.2,3764,6554,4.3,6273,9109
38,NGC23,2.47254,25.9238,4566,2009-11-28,34.7,20,2.3,3183,5962,?,?,?
39,NGC-23,2.47254,25.9238,4565,2006-11-26,44.5,35,2.4,3182,5961,2.2,5681,8506
40,NGC23,2.47254,25.9238,4566,2006-10-04,68.5,80,3.0,3183,5962,?,?,?
41,NGC-23,2.47258,25.9238,4565,2005-12-14,41.3,5,5.8,3182,5961,5.1,5681,8506
42,NGC-23,2.47258,25.9238,4565,2005-12-18,44.2,30,2.5,3182,5961,2.3,5681,8506
43,UM207,2.52762,-0.435944,9648,2010-01-10,25.2,10,2.1,8218,11091,2.1,10802,13723
44,MARK937,2.54162,-4.71056,8846,2016-02-04,42.5,10,4.4,7512,10192,?,?,?
45,Mrk937,2.54171,-4.71053,8851,2003-11-01,60.4,24,4.1,7428,10286,?,?,?
46,NGC-26,2.60775,25.8318,4589,2005-12-14,41.2,5,5.7,3205,5985,5.1,5705,8531
47,Mrk1501,2.62912,10.975,26783,2016-02-12,48.0,6,6.6,25290,28290,?,?,?
48,NGC-21,2.69537,33.3528,4859,2006-10-30,41.1,5,5.9,3473,6257,5.2,5977,8808
49,NGC-29,2.69546,33.3528,4589,2006-10-30,41.7,5,5.8,3205,5985,5.2,5705,8531
50,ESO538-G025,2.72579,-21.0675,7768,2011-10-10,62.1,10,6.6,6355,9193,?,?,?
51,ESO538-G025,2.72625,-21.0675,7768,2012-05-11,55.0,8,6.5,6356,9193,?,?,?
52,ESO538-G025,2.72625,-21.0675,7768,2012-11-16,53.7,10,5.4,6355,9193,?,?,?
53,NGC17,2.77704,-12.1073,5931,2009-01-08,40.4,10,3.8,4535,7339,3.7,7057,9908
54,NGC0017,2.77729,-12.1073,5931,2005-09-30,49.7,48,2.1,5578,8402,?,?,?
55,J0011-0054,2.93833,-0.908583,14384,2008-02-28,31.5,40,1.5,12910,15871,?,?,?
56,001145-005430,2.93842,-0.908556,14390,2006-04-09,34.1,10,3.0,12916,15877,2.9,15579,18591
57,001145-005430,2.93846,-0.908556,14390,2006-02-07,34.9,20,2.3,12916,15878,?,?,?
58,UM213,3.07425,-0.102889,12149,2003-11-10,31.5,20,1.9,10695,13615,?,?,?
59,NGC-39,3.07862,31.0611,4857,2006-01-05,42.4,5,5.9,3471,6255,5.3,5975,8806
60,001238-000803,3.15842,-0.134417,11691,2006-02-07,33.7,10,2.9,10242,13153,2.9,12860,15820
61,NGC41,3.19996,22.0233,5949,2010-04-11,34.2,10,3.2,4553,7357,2.9,7075,9926
62,NGC-43,3.25292,30.9153,4785,2006-01-05,42.3,5,6.0,3400,6183,5.5,5903,8732
63,UGC119,3.26292,14.41,2032,2010-01-15,39.0,10,3.5,671,3405,3.3,3129,5908
64,UGC00122,3.32208,17.03,854,2003-12-21,33.9,28,1.8,518,3248,?,?,?
65,IRAS00129+0021,3.87375,0.639694,12093,2010-02-12,41.1,10,3.6,10640,13559,4.0,13265,16233
66,J0016+1556,4.0055,15.943,11751,2014-11-03,48.1,10,5.1,10302,13214,?,?,?
67,001620+011113,4.08662,1.18719,13190,2006-02-07,33.7,10,3.1,11727,14666,2.9,14370,17359
68,001708-005728,4.28654,-0.958028,5696,2006-03-29,47.2,10,4.4,4302,7102,4.1,6820,9667
69,ESO-539-G5,4.2925,-19.3015,3190,2006-10-31,57.8,5,7.9,1819,4573,7.9,4296,7096
70,001717-121507,4.32121,-12.252,7153,2009-01-08,43.2,10,4.1,5746,8573,4.0,8288,11162
71,0018142+5357542,4.55912,53.9651,10759,2010-11-02,36.5,5,5.5,9319,12212,4.6,11921,14863
72,0018142+5357542,4.55917,53.9651,10759,2010-11-13,37.1,10,15.9,9319,12212,3.3,11921,14863
73,0018142+5357542,4.55917,53.9651,10759,2010-11-29,45.7,10,19.6,9319,12212,4.5,11921,14863
74,NGC70,4.59375,30.0795,7167,2010-04-11,33.4,10,3.0,5760,8587,2.9,8302,11176
75,NGC71,4.59833,30.0634,6697,2010-04-11,34.3,10,2.9,5294,8112,2.8,7829,10694
76,IRAS00160-0719,4.64954,-7.04892,5396,2013-03-03,43.5,18,3.5,4005,6799,?,?,?
77,2MASXJ00183589-,4.64958,-7.04889,5396,2011-10-10,53.5,10,5.8,4005,6799,?,?,?
78,ARP256NED02,4.70892,-10.3616,8193,2009-11-29,35.9,10,3.2,6776,9622,6.1,9336,12230
79,ARP256NED01,4.71192,-10.3768,8125,2009-11-29,35.2,10,3.3,6709,9554,13.1,9267,12160
80,001936-044010,4.89996,-4.66944,6142,2009-01-08,40.4,10,3.6,4744,7552,3.6,7270,10125
81,IC9,4.93329,-14.1219,12557,2012-11-16,45.0,10,36.3,11100,14027,?,?,?
82,IC9,4.93333,-14.1219,12557,2012-05-11,46.6,10,4.8,11100,14027,?,?,?
83,001947+003526,4.94721,0.590806,5396,2006-02-05,45.5,10,4.5,4005,6799,4.2,6518,9359
84,CGCG456-060,4.99308,19.4023,5310,2003-12-22,31.8,28,1.9,4963,7776,?,?,?
85,J002025+004934,5.10742,0.826333,5076,2013-01-08,40.7,9,4.5,3688,6477,?,?,?
86,0021313,5.38033,38.0769,10499,2010-11-07,32.1,10,2.7,9061,11950,2.8,11659,14596
87,002145+003327,5.44092,0.557583,5396,2006-02-05,45.3,10,4.1,4005,6799,4.3,6518,9359
88,UGC00211,5.56367,20.6077,5638,2003-12-22,31.6,28,1.6,5291,8109,?,?,?
89,UGC215,5.61042,29.5042,7091,2011-01-24,31.4,10,2.9,5685,8510,2.6,8226,11099
90,FGC0040,5.77667,20.9717,5410,2003-12-22,32.0,28,1.8,5063,7877,?,?,?
91,002349-001804,5.95542,-0.301111,12891,2006-02-07,33.7,10,2.9,11431,14364,3.1,14069,17052
92,CGCG479-024NED0,6.00967,25.6625,7378,2009-11-29,31.1,10,2.8,5969,8800,2.5,8515,11393
93,CGCG479-024,6.01333,25.6631,7378,2009-11-29,31.1,10,3.0,5969,8800,2.5,8515,11393
94,002433-130009,6.13912,-13.0025,11395,2009-01-20,39.4,10,3.6,9949,12854,3.7,12562,15517
95,UGC-232,6.16125,33.2562,4842,2006-01-05,42.9,5,6.2,3456,6240,5.7,5960,8791
96,UGC233,6.17792,14.8244,5279,2011-02-23,41.0,10,3.9,3889,6681,3.4,6400,9239
97,UGC233,6.17792,14.8245,5279,2011-11-18,32.8,10,3.0,3889,6681,?,?,?
98,CGCG457-013,6.18167,21.1011,5364,2009-11-29,33.9,10,2.9,3973,6767,2.6,6486,9326
99,UGC00238,6.26396,31.3447,6796,2005-02-01,27.0,28,1.5,6448,9288,?,?,?
100,NGC105,6.31917,12.8895,5290,2007-12-20,47.5,10,4.4,3900,6692,4.0,6411,9250
101,MRK945,6.47867,-3.42086,4431,2011-10-10,52.3,10,5.0,3049,5826,?,?,?
102,NGC-108,6.49887,29.2121,4749,2005-12-14,43.7,5,6.1,3364,6146,5.1,5866,8695
103,NGC118,6.8175,-1.78028,11250,2012-04-06,37.9,10,3.8,9805,12708,?,?,?
104,0027252+4544279,6.85496,45.7411,12003,2010-11-29,46.7,10,4.6,10551,13468,4.0,13174,16141
105,0027252+4544279,6.85504,45.7411,12003,2010-11-13,35.9,30,1.9,10551,13468,?,?,?
106,NGC-124,6.96833,-1.81028,4044,2005-10-02,64.0,5,8.2,3906,6698,8.6,1435,4182
107,UGC-275,6.99421,2.50747,4391,2005-10-02,59.8,5,8.8,4252,7051,8.3,1776,4530
108,002759-073403,6.99958,-7.56747,6502,2009-01-08,39.3,10,3.7,5101,7916,3.6,7632,10494
109,MRK0948,7.05979,7.12925,12022,2003-11-08,45.6,44,2.3,10570,13487,?,?,?
110,UGC284,7.14317,33.2724,4731,2010-01-28,41.3,10,3.6,3346,6128,3.5,5848,8677
111,2MASXJ00283779-,7.15746,-9.99833,14873,2012-05-11,44.9,10,4.4,13395,16365,?,?,?
112,2MASXJ00283779-,7.15746,-9.99833,14873,2012-11-16,40.0,10,4.0,13394,16365,?,?,?
113,PG0026+129,7.30708,13.2678,42571,2016-02-12,48.8,7,5.7,40931,44228,?,?,?
114,NGC-128,7.31292,2.86417,4241,2005-10-02,60.3,5,7.5,4102,6898,9.1,1629,4379
115,UM246,7.43621,0.169083,17809,2005-09-30,39.4,48,1.6,17429,20477,?,?,?
116,0029509+1336045,7.46208,13.6013,11388,2010-12-24,38.0,10,3.7,9942,12847,3.9,12555,15509
117,KUG0027-025,7.46525,-2.28336,5333,2010-01-10,30.0,10,2.8,3943,6736,2.5,6455,9295
118,003007-110649,7.53046,-11.1137,3527,2006-05-23,46.2,10,4.3,2153,4913,4.2,4635,7441
119,J0030+1106,7.53046,11.1137,3530,2014-11-03,53.6,10,5.8,2156,4916,?,?,?
120,003053-091228,7.72412,-9.20789,5961,2006-05-23,44.6,10,4.1,4565,7369,3.8,7087,9938
121,NGC137,7.74208,10.2084,5276,2007-12-20,41.9,10,3.8,3886,6678,3.6,6397,9236
122,UGC313,7.85875,6.20667,2085,2010-01-15,40.3,10,3.8,724,3458,3.6,3183,5962
123,0031293+1722567,7.87204,17.3824,11450,2010-12-24,41.1,10,3.7,10003,12910,4.2,12617,15573
124,UM254,7.89283,-2.15464,13311,2003-11-10,31.9,20,2.0,11845,14786,?,?,?
125,0032482+1447380,8.20075,14.7939,12601,2010-12-24,44.4,10,4.1,11144,14072,4.7,13777,16755
126,UGC323,8.21004,11.7369,4928,2010-01-15,38.3,10,3.3,3541,6327,3.1,6047,8879
127,NGC-151,8.51162,-9.70531,3747,2005-11-20,61.6,5,8.4,2371,5135,8.0,4857,7667
128,ESO540-G001,8.55746,-21.4392,8048,2011-10-10,62.4,10,5.9,6633,9476,?,?,?
129,ESO540-G001,8.55746,-21.4392,8048,2012-04-06,44.0,10,5.3,6633,9476,?,?,?
130,NGC-150,8.56446,-27.8036,1584,2006-10-31,69.2,5,9.8,227,2953,8.8,2678,5448
131,003443-000226,8.68133,-0.0407778,12591,2006-02-07,34.8,10,3.1,11134,14062,2.9,13767,16744
132,FGC0061,8.68133,-0.0407222,12610,2003-11-10,28.7,28,1.5,11150,14078,?,?,?
133,NGC-157,8.69479,-8.39644,1668,2005-11-20,61.4,5,8.2,311,3037,7.7,2763,5534
134,J003502-092206,8.76221,-9.36842,6898,2013-01-08,41.6,9,4.2,5493,8315,?,?,?
135,CGCG434-024,8.77708,14.3547,11377,2010-01-15,32.3,10,3.0,9931,12836,2.9,12544,15498
136,IC34,8.90175,9.12425,5338,2007-12-20,49.2,10,4.7,3947,6741,4.2,6460,9300
137,2MASXJ00354660+,8.94429,13.88,17872,2013-12-24,36.5,10,3.8,16365,19393,?,?,?
138,NGC166,8.95329,-13.6106,6021,2012-05-11,50.1,10,5.8,4624,7430,?,?,?
139,NGC166,8.95337,-13.6106,6021,2012-11-16,48.9,10,5.0,4624,7430,?,?,?
140,J003610+043807,9.04417,4.63525,4905,2014-11-03,53.7,10,5.8,3518,6304,?,?,?
141,J003619+093343,9.07996,9.56247,0,2014-12-20,44.8,10,5.3,2722,10322,?,?,?
142,ESO350-IG038,9.21954,-33.5547,6175,2013-03-03,64.6,18,5.4,4777,7586,?,?,?
143,NGC-174,9.24546,-29.4778,3470,2006-10-31,75.2,5,11.3,2096,4856,10.0,4578,7383
144,3C15,9.26704,-1.15217,21885,2004-03-17,38.2,28,2.0,20340,23445,?,?,?
145,B2_0034+25,9.27287,25.6989,9548,2004-01-24,38.5,20,2.4,8119,10990,?,?,?
146,NGC-173,9.30208,1.94222,4366,2005-10-02,62.4,5,8.9,4227,7026,9.1,1752,4505
147,NGC-177,9.39321,-22.5493,3892,2006-10-31,59.7,5,8.4,2515,5282,8.6,5003,7816
148,Mrk955,9.39912,0.280583,10450,2003-10-24,34.0,40,1.6,9013,11900,?,?,?
149,003736+001650,9.39921,0.280667,10471,2013-12-19,53.0,10,5.7,9033,11922,?,?,?
150,NGC-224,9.42304,40.8319,-299,2006-11-04,33.4,5,4.3,-1639,1051,4.6,780,3515
151,NGC180,9.49042,8.63522,5281,2007-12-20,46.1,10,4.4,3891,6683,3.9,6402,9241
152,003808-002447,9.53704,-0.413167,12591,2006-02-07,34.6,10,3.1,11134,14062,3.2,13767,16744
153,IC-1562,9.64146,-24.2741,3659,2006-10-31,62.1,5,8.9,2284,5046,8.5,4768,7577
154,003843+003451,9.67942,0.581028,12891,2006-04-09,33.7,10,3.0,11431,14364,2.8,14069,17052
155,UGC-398,9.73975,25.6386,4612,2005-12-14,42.7,5,5.5,3228,6008,5.3,5728,8555
156,NGC185,9.7415,48.3374,-201,2009-04-13,67.2,20,4.3,-1541,1150,4.2,879,3616
157,NGC-209,9.765,-18.6083,3931,2005-12-02,55.0,5,8.1,2553,5321,7.2,5042,7856
158,NGC-192,9.80583,0.864194,4210,2005-10-02,61.8,5,8.4,4071,6867,8.9,1598,4348
159,NGC-193,9.8275,3.33108,4327,2005-11-20,52.7,5,7.6,2946,5721,6.6,5441,8262
160,NGC193,9.8275,3.33119,4340,2004-03-17,45.4,20,3.0,2959,5734,?,?,?
161,CGCG479-054,9.85708,25.2558,4638,2009-11-29,34.4,10,3.0,3254,6034,2.6,5754,8581
162,NGC-201,9.89504,0.859889,4366,2006-10-30,43.4,10,4.0,2984,5760,3.7,5480,8302
163,J003935-091140,9.89912,-9.19453,4898,2013-01-08,42.8,8,5.3,3511,6297,?,?,?
164,003948-090834,9.95162,-9.14294,11233,2006-05-23,40.1,10,3.6,9789,12691,3.6,12398,15350
165,NGC-210,10.1459,-13.8728,1634,2005-12-02,52.6,5,6.7,277,3003,6.7,2728,5499
166,IRASF00380-0740,10.1543,-7.38722,15756,2010-02-12,44.3,10,4.1,14269,17257,4.2,16956,19995
167,004103-095628,10.2643,-9.94114,11037,2006-05-23,41.0,10,3.8,9594,12493,3.5,12201,15148
168,ESO540-G014,10.2987,-21.1317,1654,2011-10-10,66.6,10,6.5,297,3023,?,?,?
169,ESO540-G014,10.2987,-21.1317,1654,2012-11-16,54.6,9,6.1,297,3023,?,?,?
170,ESO540-G014,10.2987,-21.1317,1654,2012-05-11,58.5,10,6.4,297,3023,?,?,?
171,2MASXJ00412528+,10.3554,13.7261,9984,2012-01-07,82.0,10,7.8,8551,11430,?,?,?
172,NGC214,10.3666,25.4995,4537,2013-12-18,47.9,8,5.3,3154,5933,?,?,?
173,NGC-214,10.3668,25.4993,4533,2005-12-14,43.4,5,6.2,3150,5929,5.6,5649,8474
174,LEDA093200,10.3961,-9.36447,14234,2003-11-10,29.6,24,1.7,12757,15715,?,?,?
175,MCG-02-02-084,10.4293,-9.43953,16886,2005-02-01,27.8,28,1.4,16506,19536,?,?,?
176,004214-104415,10.5625,-10.7375,10776,2006-05-23,43.0,10,4.1,9336,12229,3.6,11938,14880
177,IC-43,10.5919,29.6416,4858,2005-12-14,43.4,5,6.0,3472,6256,5.4,5976,8807
178,MRK1143,10.6413,3.257,11047,2003-11-10,28.6,36,1.4,9602,12501,?,?,?
179,VIIIZw036,10.6535,-10.8228,12580,2014-01-14,44.4,10,4.6,11123,14051,?,?,?
180,MESSIER031,10.6847,41.269,-299,2005-02-01,34.1,20,2.1,-631,2078,?,?,?
181,NGC235A,10.72,-23.5411,6664,2004-11-11,60.9,20,4.4,5261,8079,?,?,?
182,3C20,10.7866,52.0594,52164,2004-03-17,36.7,44,1.5,50315,54032,?,?,?
183,004314-272936,10.81,-27.4934,10600,2009-01-20,49.3,10,36.1,9161,12052,4.6,11761,14700
184,NGC237,10.8659,-0.125,4175,2011-10-10,51.3,10,7.3,2795,5567,?,?,?
185,NGC-234,10.885,14.3426,4452,2006-10-24,40.6,5,5.9,3070,5847,5.6,5567,8390
186,UGC-465,10.9615,32.8534,4772,2006-01-05,43.0,5,5.8,3387,6170,5.7,5889,8719
187,IC-49,10.9839,1.85028,4562,2005-11-20,52.1,5,7.6,3179,5958,6.2,5678,8503
188,ESO540-G017NED0,11.0908,-17.3511,9305,2012-11-16,46.3,10,4.7,7878,10745,?,?,?
189,NGC-245,11.5225,-1.72333,4074,2005-10-02,66.3,5,8.7,3936,6729,9.4,1465,4212
190,J004616-091719,11.568,-9.28867,6074,2013-01-08,41.1,10,4.6,4676,7483,?,?,?
191,UGC-478,11.6072,30.2383,4995,2005-12-14,43.4,5,5.7,3608,6395,5.8,6114,8948
192,UGC-484,11.7333,32.6754,4859,2006-01-05,41.4,5,6.2,3473,6258,5.4,5977,8808
193,UGC488,11.8308,14.7036,11787,2010-01-15,32.4,10,3.0,10337,13250,3.1,12957,15919
194,004730.3+154149,11.8765,15.6971,9426,2012-05-11,44.5,10,4.4,7998,10867,?,?,?
195,004730.3+154149,11.8765,15.6971,9426,2013-12-30,64.9,9,7.0,7998,10867,?,?,?
196,NGC253,11.888,-25.2884,241,2006-10-31,68.1,5,9.1,-1103,1597,9.1,1325,4071
197,NGC253,11.888,-25.2884,243,2005-01-27,34.2,16,2.9,-1101,1599,?,?,?
198,004739-275651,11.915,-27.9475,1786,2008-11-01,66.3,15,4.8,428,3156,5.0,2882,5655
199,NGC-255,11.9471,-11.4687,1600,2005-11-20,60.2,5,8.1,243,2969,7.7,2694,5465
200,UGCA014,11.9552,-9.90022,1350,2003-03-14,47.7,15,3.7,-3,2716,?,?,?
201,NGC-251,11.9751,19.5968,4597,2006-10-24,40.3,5,5.7,3213,5993,5.3,5713,8539
202,IC1586,11.9845,22.3728,5821,2009-11-29,33.3,10,3.1,4426,7228,2.8,6946,9795
203,2MASXJ00475839+,11.9932,13.7804,16893,2013-12-19,43.9,10,4.4,15395,18404,?,?,?
204,2MASXJ00475976+,11.9991,13.7427,16960,2013-12-19,43.1,10,4.4,15462,18472,?,?,?
205,Mrk348,12.1962,31.9569,4507,2004-01-24,36.0,8,3.8,3124,5902,?,?,?
206,Mrk348,12.206,31.9911,4507,2004-01-30,52.0,16,4.9,3124,5902,?,?,?
207,MRK557,12.2218,-2.38197,3918,2010-01-10,30.6,10,2.9,2540,5308,2.7,5029,7843
208,NGC-266,12.4492,32.2777,4661,2006-01-05,42.6,5,5.9,3277,6058,5.5,5778,8605
209,MCG-02-03-025,12.4848,-12.2181,4066,2009-11-29,41.0,10,3.6,2687,5457,3.4,5178,7995
210,UGC512,12.5112,7.91892,5383,2010-02-12,45.4,10,4.3,3992,6786,3.5,6505,9346
211,NGC-271,12.6746,-1.91028,4098,2005-10-02,66.7,5,9.0,3960,6753,9.3,1488,4236
212,NGC274,12.7575,-7.05694,1750,2009-11-29,40.5,10,3.5,392,3120,3.5,2845,5618
213,UGC524,12.8958,29.4014,10779,2016-02-04,38.2,10,3.9,9429,12142,?,?,?
214,IRAS00494-3056,12.9659,-30.6666,15529,2013-03-03,54.0,13,5.8,14044,17027,?,?,?
215,MRK1148,12.9784,17.4329,19200,2009-01-29,34.9,10,3.0,17681,20734,2.9,20426,23532
216,NGC-279,13.0375,-2.21833,3889,2005-10-02,68.2,5,9.2,3751,6540,10.0,1283,4027
217,2MFGC00638,13.2334,15.7855,15604,2013-12-20,43.9,10,4.4,14119,17103,?,?,?
218,UGC540,13.2429,29.0325,4982,2010-01-28,41.0,10,3.7,3595,6382,3.1,6101,8934
219,005329-084604,13.3747,-8.76781,5692,2006-05-23,46.5,10,4.5,4298,7098,3.9,6816,9662
220,NGC291,13.3747,-8.76778,5705,2011-01-21,34.9,70,1.2,4311,7111,?,?,?
221,IZw1,13.3954,12.6934,17658,2011-02-06,38.5,20,2.6,16153,19177,?,?,?
222,005420-233309,13.5854,-23.5525,9680,2008-11-01,56.5,10,5.2,8250,11123,5.1,10834,13756
223,UGC556,13.7095,29.2467,4629,2010-04-11,36.4,10,3.4,3245,6025,2.7,5745,8572
224,PG0052+251,13.717,25.4274,46303,2016-02-12,48.2,8,5.9,44627,47996,?,?,?
225,CGCG501-043,13.8446,30.4872,5149,2003-12-13,37.7,32,1.9,4802,7612,?,?,?
226,005539+144625,13.9137,14.7736,11991,2006-02-07,32.4,10,3.0,10539,13456,2.8,13162,16128
227,UGC575,14.0419,31.0735,4666,2003-03-22,48.7,28,3.1,3282,6063,?,?,?
228,NGC-307,14.1358,-1.77194,4002,2005-10-02,68.2,5,9.3,3864,6655,10.4,1394,4140
229,TonS180,14.3342,-22.3822,18581,2011-02-10,33.1,20,2.3,17068,20109,?,?,?
230,3C29,14.3954,-1.39111,13500,2004-03-17,41.7,20,2.6,12034,14979,?,?,?
231,NGC0315,14.4537,30.3525,4942,2004-01-24,38.0,20,2.6,3555,6341,?,?,?
232,NGC0315,14.4538,30.3525,4942,2013-03-03,39.4,13,3.7,3555,6341,?,?,?
233,005800-001727,14.502,-0.290889,13190,2006-04-09,33.7,10,3.0,11727,14666,3.1,14370,17359
234,2MASXJ00584070+,14.6696,8.79911,17269,2010-02-12,43.4,10,3.8,15768,18784,3.5,18480,21549
235,NGC334,14.7075,-35.116,9210,2003-10-24,56.7,36,3.1,7784,10649,?,?,?
236,J0059+0100,14.7671,1.00111,5346,2014-11-04,74.4,10,8.2,3955,6749,?,?,?
237,0059135-0222416,14.8063,-2.37819,13335,2010-11-03,49.6,10,4.3,11871,14813,4.2,14516,17508
238,UGC615,14.9171,15.3311,5507,2012-01-07,84.7,10,8.1,4115,6912,?,?,?
239,005942+005459,14.9255,0.916611,5396,2006-03-29,46.0,10,4.3,4005,6799,4.0,6518,9359
240,J005950-073438,14.9587,-7.578,1646,2014-11-04,81.8,10,9.4,289,3015,?,?,?
241,Mrk352,14.9721,31.8269,4459,2009-01-22,38.5,10,3.5,3077,5854,3.3,5574,8398
242,NGC-338,15.1517,30.6689,4778,2006-10-24,39.8,5,5.5,3393,6176,5.1,5895,8725
243,IRAS00579+3003,15.1604,30.3163,5186,2003-12-22,30.7,28,1.6,4839,7649,?,?,?
244,J0100-0911,15.191,-9.18572,4541,2014-11-04,81.6,10,9.0,3158,5937,?,?,?
245,010053+152728,15.2232,15.4579,11991,2006-02-07,32.6,10,2.9,10539,13456,3.0,13162,16128
246,IC-65,15.231,47.682,2614,2006-11-04,34.5,5,4.5,1248,3992,4.2,3716,6504
247,J010119-095042,15.3311,-9.84525,4595,2013-01-08,41.6,10,4.6,3211,5991,?,?,?
248,UM082,15.3354,6.91417,15289,2013-12-20,46.9,10,4.8,13807,16785,?,?,?
249,NGC-351,15.4908,-1.93669,4194,2005-10-02,68.2,5,9.1,4055,6851,11.0,1583,4332
250,2MASXJ01021132+,15.5472,14.5061,17122,2013-12-20,42.4,10,4.4,15622,18636,?,?,?
251,CGCG520-008,15.6283,34.2758,11322,2010-01-28,33.7,10,2.8,9877,12781,3.1,12488,15442
252,2MASXJ01023915-,15.663,-0.878778,15156,2013-12-29,65.7,7,8.2,13675,16651,?,?,?
253,MRK969,15.6675,-12.8492,6208,2009-11-29,38.9,10,3.5,4810,7619,3.2,7336,10192
254,NGC354,15.8183,22.3428,4665,2009-12-27,32.2,10,2.9,3281,6062,2.6,5782,8609
255,NGC-357,15.8412,-6.33922,2541,2005-11-20,57.1,5,8.1,1176,3918,7.5,3642,6430
256,J010324-105121,15.8507,-10.8559,6982,2013-01-09,43.1,8,5.0,5576,8400,?,?,?
257,2MASXJ01033102-,15.8792,-12.2686,7195,2012-04-06,40.2,10,4.2,5788,8615,?,?,?
258,010411+140653,16.0469,14.1148,12591,2006-02-07,32.9,10,3.0,11134,14062,2.9,13767,16745
259,010621+143455,16.5909,14.5822,11991,2006-02-07,33.2,10,3.0,10539,13456,3.0,13162,16128
260,010623-000841,16.5998,-0.144833,14390,2006-04-09,33.7,10,3.1,12916,15877,2.9,15579,18591
261,UM85,16.6883,6.63389,12291,2016-02-12,52.7,10,5.0,10927,13667,?,?,?
262,010716-003837,16.8193,-0.643694,13190,2006-04-09,33.3,10,2.8,11727,14666,3.0,14370,17359
