count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
4715,142729+044647,216.873,4.77975,8260,2006-11-14,40.2,10,3.6,6843,9690,3.5,9403,12298
4716,UGC9295,216.882,69.936,9220,2009-12-27,28.8,10,2.7,7794,10659,2.6,10370,13283
4717,142752+074554,216.967,7.76489,10977,2008-02-03,43.2,10,3.9,9535,12432,3.7,12140,15086
4718,142758+263016,216.992,26.5045,9666,2008-02-03,49.7,10,4.8,8236,11109,4.3,10819,13741
4719,142802+275656,217.008,27.9488,10954,2008-02-03,50.2,10,4.5,9512,12409,4.3,12117,15063
4720,J1428+2118,217.011,21.3039,1141,2015-01-23,43.5,10,4.3,-210,2505,?,?,?
4721,NGC-5629,217.068,25.8488,4498,2008-05-06,52.7,5,7.1,3115,5893,6.4,5613,8437
4722,SBS1426+573,217.075,57.1716,12842,2009-12-27,28.6,10,2.5,11383,14315,2.6,14019,17001
4723,NGC5635,217.132,27.4089,4316,2014-01-03,41.3,10,4.3,2935,5709,?,?,?
4724,MRK682,217.194,27.2505,4417,2009-12-16,31.9,10,2.8,3035,5811,2.3,5532,8354
4725,NGC-5641,217.319,28.8219,4345,2008-05-06,57.7,5,7.5,2964,5739,7.1,5459,8280
4726,142947+353427,217.449,35.5743,8501,2006-11-18,43.6,10,3.9,7082,9933,3.8,9646,12545
4727,NGC-5660,217.455,49.6228,2328,2008-05-29,44.9,10,3.7,965,3703,3.8,3427,6211
4728,J1429+1939,217.457,19.6507,5590,2015-01-23,42.1,10,4.4,4198,6995,?,?,?
4729,J1429+1347,217.461,13.7995,5253,2015-01-23,43.0,10,4.3,3864,6655,?,?,?
4730,NGC-5653,217.543,31.215,3567,2008-05-06,57.9,5,8.2,2193,4954,7.3,4675,7482
4731,UGC-9317,217.546,27.5316,4425,2008-05-06,54.0,5,7.0,3043,5819,6.7,5540,8362
4732,SBS1428+529,217.63,52.7072,13329,2012-11-14,46.1,10,4.9,11865,14806,?,?,?
4733,NGC5648,217.636,14.0231,5156,2009-11-07,40.2,10,3.8,3767,6557,3.0,6276,9112
4734,NGC5645,217.664,7.275,1370,2009-11-07,40.0,10,3.5,16,2736,3.6,2462,5228
4735,NGC-5657,217.682,29.1807,3906,2008-05-06,56.2,5,7.1,2529,5296,7.3,5017,7830
4736,J143043+291049,217.682,29.1804,3977,2013-12-30,68.5,9,7.2,2599,5367,?,?,?
4737,UGC09327,217.692,0.247667,16333,2013-12-24,52.3,6,6.9,14841,17839,?,?,?
4738,143050-280729,217.712,-28.1247,4907,2008-11-29,55.6,10,5.3,3521,6306,5.2,6025,8857
4739,MRK684,217.77,28.2872,13814,2010-02-01,29.0,10,2.4,12346,15296,2.3,14999,17999
4740,143107+230212,217.782,23.0366,11017,2007-12-14,35.8,10,3.1,9575,12472,3.1,12181,15128
