Source_Name,Column1
NGC5131,2
NGC5252,2
NGC5256,2
NGC5256A,2
NGC5273,3
NGC5283,2
NGC5347,6
NGC5495,8
NGC5506,16
NGC5635,2
NGC5674,2
NGC5691,2
NGC5728,23
NGC5765b,22
NGC5793,7
NGC5899,2
NGC591,8
NGC5992,2
NGC613,3
NGC6240,4
NGC6264,29
NGC631,2
NGC6323,45
ngc6500,3
NGC6926,5
NGC6946,2
NGC7018NED01,2
NGC7217,3
NGC7378,2
NGC7479,6
NGC7592A,2
NGC7626,2
NGC7674,2
NGC7682,2
NGC777,2
NGC788,2
NGC973,2
NPM1G+10.0264,2
RXSJ11032-0654,2
SDSSJ07413+3413,2
SDSSJ11025-0017,2
SDSSJ11129+0930,2
SDSSJ11276+0830,2
SDSSJ11455+0943,2
SDSSJ142628.86+,2
SDSSJ16020+5233,2
TOL1059+105,2
TXS2226,6
TXS2226-184,2
UGC-11194,2
UGC-1120,2
UGC-12271,2
UGC-1277,2
UGC-2598,2
UGC-2836,2
UGC-2837,2
UGC-3193,2
UGC-3413,2
UGC-4308,2
UGC09618NED02,3
UGC10477,2
ugc11021,2
ugc11182,2
UGC11185NED01,2
UGC12149,2
UGC12237,2
UGC12300,2
UGC12348,2
UGC12492,2
UGC1416,2
UGC1716,2
UGC233,2
UGC2936,2
UGC3157,2
UGC3193,4
UGC3255,5
UGC3601,2
UGC3789,63
UGC3901,3
UGC4261,2
UGC5101,3
UGC5342,2
UGC5713,4
UGC6093,33
UGC6398,2
UGC6684NOTES01,2
UGC768,2
UGC829,2
UGC8502a,2
UGC8502b,2
UGC9002,2
UGC933,2
UGC9588,2
UGC9618b,6
UGC9639,9
UGC964,2
UGCA116,2
UGCA201,2
VCC1175,2
Zw011.012,2
